用户ID,兴趣类别,观看视频数,点赞视频数
3070,"CAT_220, CAT_046, CAT_181, CAT_117",125,53
3071,"CAT_088, CAT_174, CAT_183, CAT_210, CAT_059",135,67
3072,"CAT_047, CAT_132, CAT_128, CAT_086",123,37
3073,"CAT_080, CAT_187, CAT_061, CAT_057",113,45
3074,"CAT_081, CAT_091, CAT_180, CAT_166, CAT_140, CAT_175",118,50
3075,"CAT_155, CAT_185, CAT_127, CAT_197, CAT_102",117,55
3076,"CAT_213, CAT_176, CAT_175, CAT_181, CAT_141",137,54
3077,"CAT_145, CAT_085, CAT_039, CAT_098",127,49
3078,"CAT_186, CAT_017, CAT_126, CAT_112, CAT_086",115,52
3079,"CAT_177, CAT_060, CAT_146, CAT_163",116,51
3080,"CAT_163, CAT_196, CAT_170, CAT_012",115,38
3081,"CAT_210, CAT_010, CAT_159, CAT_182, CAT_106, CAT_001",132,52
3082,"CAT_183, CAT_137, CAT_122, CAT_062, CAT_167",123,52
3083,"CAT_019, CAT_091, CAT_103, CAT_141",108,41
3084,"CAT_061, CAT_037, CAT_217, CAT_127, CAT_140",115,55
3085,"CAT_164, CAT_145, CAT_174, CAT_103, CAT_021, CAT_045",96,43
3086,"CAT_133, CAT_100, CAT_035, CAT_203",138,51
3087,"CAT_081, CAT_126, CAT_114, CAT_021, CAT_122, CAT_025",127,53
3088,"CAT_095, CAT_209, CAT_125, CAT_079, CAT_126, CAT_090",141,50
3089,"CAT_064, CAT_091, CAT_191, CAT_042",142,48
3090,"CAT_118, CAT_171, CAT_081, CAT_179, CAT_088, CAT_011",99,41
3091,"CAT_084, CAT_148, CAT_185, CAT_197, CAT_188, CAT_012",131,63
3092,"CAT_014, CAT_195, CAT_177, CAT_074",116,57
3093,"CAT_219, CAT_041, CAT_198, CAT_096, CAT_033, CAT_137",103,49
3094,"CAT_205, CAT_162, CAT_118, CAT_209",150,64
3095,"CAT_143, CAT_200, CAT_097, CAT_139",137,56
3096,"CAT_057, CAT_056, CAT_093, CAT_175",128,43
3097,"CAT_030, CAT_008, CAT_160, CAT_214, CAT_059",90,33
3098,"CAT_025, CAT_113, CAT_211, CAT_015, CAT_155, CAT_165",118,47
3099,"CAT_219, CAT_117, CAT_082, CAT_093",133,50
3100,"CAT_178, CAT_025, CAT_100, CAT_128, CAT_080",113,42
3101,"CAT_090, CAT_119, CAT_196, CAT_107",116,48
3102,"CAT_158, CAT_154, CAT_060, CAT_044, CAT_020",117,37
3103,"CAT_212, CAT_102, CAT_065, CAT_049",152,66
3104,"CAT_128, CAT_019, CAT_022, CAT_074",116,45
3105,"CAT_046, CAT_023, CAT_220, CAT_139",122,50
3106,"CAT_033, CAT_127, CAT_056, CAT_148, CAT_218",142,55
3107,"CAT_154, CAT_034, CAT_043, CAT_095, CAT_179",122,48
3108,"CAT_095, CAT_069, CAT_075, CAT_171",104,37
3109,"CAT_170, CAT_201, CAT_158, CAT_044, CAT_186",114,51
3110,"CAT_202, CAT_092, CAT_073, CAT_046, CAT_139, CAT_196",135,57
3111,"CAT_103, CAT_029, CAT_055, CAT_020, CAT_154, CAT_108",94,39
3112,"CAT_084, CAT_177, CAT_087, CAT_193, CAT_076, CAT_029",138,52
3113,"CAT_017, CAT_104, CAT_132, CAT_214, CAT_140, CAT_106",116,42
3114,"CAT_092, CAT_054, CAT_051, CAT_007",99,52
3115,"CAT_107, CAT_132, CAT_162, CAT_156, CAT_192",108,52
3116,"CAT_079, CAT_101, CAT_207, CAT_218, CAT_108, CAT_086",139,54
3117,"CAT_004, CAT_154, CAT_006, CAT_196, CAT_188",103,44
3118,"CAT_086, CAT_053, CAT_099, CAT_058",147,61
3119,"CAT_079, CAT_126, CAT_007, CAT_067",101,43
3120,"CAT_116, CAT_144, CAT_196, CAT_190",114,50
3121,"CAT_026, CAT_008, CAT_076, CAT_119, CAT_029",115,44
3122,"CAT_038, CAT_151, CAT_148, CAT_015",114,45
3123,"CAT_037, CAT_218, CAT_085, CAT_011",144,57
3124,"CAT_092, CAT_197, CAT_110, CAT_045",113,39
3125,"CAT_023, CAT_063, CAT_189, CAT_149, CAT_186, CAT_216",140,57
3126,"CAT_031, CAT_038, CAT_151, CAT_022",108,40
3127,"CAT_096, CAT_012, CAT_198, CAT_048, CAT_135",114,36
3128,"CAT_216, CAT_067, CAT_166, CAT_144, CAT_160",102,52
3129,"CAT_098, CAT_109, CAT_160, CAT_187",149,53
3130,"CAT_086, CAT_044, CAT_208, CAT_081, CAT_123",117,42
3131,"CAT_212, CAT_047, CAT_066, CAT_190, CAT_110",126,54
3132,"CAT_060, CAT_194, CAT_057, CAT_105",89,36
3133,"CAT_091, CAT_089, CAT_144, CAT_189, CAT_044, CAT_212",127,57
3134,"CAT_024, CAT_166, CAT_180, CAT_174",95,46
3135,"CAT_095, CAT_026, CAT_131, CAT_073, CAT_161, CAT_060",122,57
3136,"CAT_059, CAT_126, CAT_141, CAT_187, CAT_058",140,60
3137,"CAT_216, CAT_067, CAT_213, CAT_164",112,48
3138,"CAT_010, CAT_070, CAT_188, CAT_132",127,53
3139,"CAT_177, CAT_207, CAT_080, CAT_061, CAT_060, CAT_038",139,59
3140,"CAT_173, CAT_074, CAT_218, CAT_106, CAT_140",126,46
3141,"CAT_092, CAT_042, CAT_161, CAT_156, CAT_118, CAT_164",133,59
3142,"CAT_053, CAT_089, CAT_194, CAT_222, CAT_102, CAT_088",116,42
3143,"CAT_202, CAT_079, CAT_055, CAT_220",113,44
3144,"CAT_202, CAT_172, CAT_032, CAT_205",111,50
3145,"CAT_148, CAT_220, CAT_174, CAT_141, CAT_189",105,48
3146,"CAT_079, CAT_008, CAT_178, CAT_078, CAT_172, CAT_120",110,45
3147,"CAT_005, CAT_126, CAT_163, CAT_096, CAT_133",120,51
3148,"CAT_183, CAT_019, CAT_068, CAT_120, CAT_094",112,43
3149,"CAT_057, CAT_175, CAT_060, CAT_008",103,39
3150,"CAT_030, CAT_219, CAT_216, CAT_199, CAT_196",117,53
3151,"CAT_035, CAT_153, CAT_106, CAT_047",106,49
3152,"CAT_179, CAT_052, CAT_078, CAT_158",103,45
3153,"CAT_047, CAT_018, CAT_093, CAT_140, CAT_025",104,41
3154,"CAT_131, CAT_093, CAT_078, CAT_035, CAT_003",122,41
3155,"CAT_006, CAT_154, CAT_222, CAT_151, CAT_103, CAT_108",119,45
3156,"CAT_018, CAT_203, CAT_202, CAT_196, CAT_159",113,26
3157,"CAT_028, CAT_095, CAT_184, CAT_144",119,53
3158,"CAT_091, CAT_082, CAT_065, CAT_205",152,69
3159,"CAT_008, CAT_057, CAT_034, CAT_206, CAT_091, CAT_110",103,42
3160,"CAT_131, CAT_139, CAT_202, CAT_089, CAT_211",98,40
3161,"CAT_109, CAT_095, CAT_177, CAT_212",120,50
3162,"CAT_045, CAT_109, CAT_037, CAT_128, CAT_047",110,36
3163,"CAT_017, CAT_127, CAT_201, CAT_196, CAT_063",126,60
3164,"CAT_007, CAT_165, CAT_157, CAT_168",116,58
3165,"CAT_017, CAT_068, CAT_076, CAT_033, CAT_202",120,56
3166,"CAT_189, CAT_081, CAT_073, CAT_185, CAT_009",128,54
3167,"CAT_153, CAT_205, CAT_014, CAT_179, CAT_063, CAT_041",136,59
3168,"CAT_172, CAT_021, CAT_129, CAT_077",106,36
3169,"CAT_150, CAT_222, CAT_058, CAT_048",107,38
3170,"CAT_022, CAT_023, CAT_103, CAT_019, CAT_109",107,44
3171,"CAT_051, CAT_059, CAT_022, CAT_018, CAT_213",138,53
3172,"CAT_169, CAT_022, CAT_105, CAT_065",126,55
3173,"CAT_160, CAT_121, CAT_037, CAT_179, CAT_065, CAT_219",127,66
3174,"CAT_219, CAT_093, CAT_049, CAT_052, CAT_048",110,36
3175,"CAT_059, CAT_202, CAT_022, CAT_102, CAT_013, CAT_119",134,51
3176,"CAT_142, CAT_004, CAT_038, CAT_119, CAT_218",105,47
3177,"CAT_007, CAT_020, CAT_052, CAT_137",126,48
3178,"CAT_174, CAT_162, CAT_005, CAT_201",124,43
3179,"CAT_056, CAT_144, CAT_152, CAT_193, CAT_189, CAT_119",143,63
3180,"CAT_156, CAT_142, CAT_003, CAT_049, CAT_052, CAT_098",121,44
3181,"CAT_137, CAT_118, CAT_096, CAT_056, CAT_207, CAT_221",110,49
3182,"CAT_102, CAT_083, CAT_031, CAT_058, CAT_099",124,49
3183,"CAT_085, CAT_088, CAT_170, CAT_033, CAT_151, CAT_066",136,51
3184,"CAT_083, CAT_159, CAT_011, CAT_066",135,54
3185,"CAT_139, CAT_102, CAT_076, CAT_057, CAT_105, CAT_201",101,45
3186,"CAT_147, CAT_127, CAT_113, CAT_045",102,37
3187,"CAT_149, CAT_024, CAT_089, CAT_180, CAT_099, CAT_213",154,53
3188,"CAT_003, CAT_050, CAT_109, CAT_119",135,49
3189,"CAT_026, CAT_008, CAT_010, CAT_216, CAT_174",120,52
3190,"CAT_086, CAT_163, CAT_028, CAT_052, CAT_019",110,41
3191,"CAT_069, CAT_056, CAT_219, CAT_039, CAT_080, CAT_156",127,45
3192,"CAT_018, CAT_089, CAT_124, CAT_193, CAT_110",127,57
3193,"CAT_213, CAT_160, CAT_051, CAT_013, CAT_076, CAT_188",140,59
3194,"CAT_219, CAT_075, CAT_220, CAT_037",130,37
3195,"CAT_033, CAT_044, CAT_082, CAT_122, CAT_173",131,66
3196,"CAT_169, CAT_066, CAT_183, CAT_196, CAT_012, CAT_211",120,57
3197,"CAT_108, CAT_113, CAT_062, CAT_220, CAT_061",90,32
3198,"CAT_218, CAT_050, CAT_054, CAT_039, CAT_159",100,38
3199,"CAT_065, CAT_214, CAT_192, CAT_010, CAT_046",140,56
3200,"CAT_174, CAT_086, CAT_216, CAT_211",127,46
3201,"CAT_092, CAT_131, CAT_048, CAT_118, CAT_056, CAT_196",119,49
3202,"CAT_178, CAT_088, CAT_091, CAT_106",114,45
3203,"CAT_100, CAT_044, CAT_061, CAT_153, CAT_107, CAT_162",141,67
3204,"CAT_013, CAT_072, CAT_042, CAT_012",134,54
3205,"CAT_044, CAT_034, CAT_097, CAT_183",129,51
3206,"CAT_025, CAT_062, CAT_113, CAT_064",106,43
3207,"CAT_078, CAT_107, CAT_109, CAT_013, CAT_199",102,43
3208,"CAT_076, CAT_026, CAT_024, CAT_141, CAT_075, CAT_010",123,46
3209,"CAT_145, CAT_089, CAT_129, CAT_143",126,53
3210,"CAT_076, CAT_005, CAT_137, CAT_111",112,35
3211,"CAT_218, CAT_063, CAT_007, CAT_191",134,47
3212,"CAT_115, CAT_213, CAT_034, CAT_199, CAT_205, CAT_095",136,58
3213,"CAT_018, CAT_111, CAT_005, CAT_196, CAT_179, CAT_124",142,60
3214,"CAT_202, CAT_143, CAT_003, CAT_201, CAT_211, CAT_108",137,54
3215,"CAT_106, CAT_102, CAT_060, CAT_071",101,41
3216,"CAT_051, CAT_041, CAT_158, CAT_067, CAT_102",117,57
3217,"CAT_146, CAT_199, CAT_176, CAT_196, CAT_136, CAT_026",145,57
3218,"CAT_148, CAT_166, CAT_150, CAT_108, CAT_222, CAT_082",101,44
3219,"CAT_127, CAT_032, CAT_107, CAT_102, CAT_157, CAT_015",130,48
3220,"CAT_070, CAT_044, CAT_174, CAT_083",137,48
3221,"CAT_020, CAT_042, CAT_123, CAT_051",124,42
3222,"CAT_014, CAT_143, CAT_167, CAT_100, CAT_001",127,50
3223,"CAT_071, CAT_193, CAT_208, CAT_001, CAT_177",144,54
3224,"CAT_072, CAT_094, CAT_061, CAT_159",93,40
3225,"CAT_089, CAT_003, CAT_072, CAT_015",121,39
3226,"CAT_123, CAT_184, CAT_134, CAT_011, CAT_149",100,43
3227,"CAT_212, CAT_027, CAT_199, CAT_140",131,52
3228,"CAT_037, CAT_052, CAT_064, CAT_139, CAT_090",120,50
3229,"CAT_216, CAT_140, CAT_076, CAT_138, CAT_125",136,50
3230,"CAT_166, CAT_012, CAT_134, CAT_210, CAT_108, CAT_140",100,46
3231,"CAT_058, CAT_037, CAT_192, CAT_082",137,51
3232,"CAT_169, CAT_088, CAT_040, CAT_021, CAT_101",116,51
3233,"CAT_066, CAT_022, CAT_037, CAT_019, CAT_049",138,64
3234,"CAT_108, CAT_069, CAT_221, CAT_026",90,31
3235,"CAT_136, CAT_221, CAT_199, CAT_044, CAT_043, CAT_210",117,42
3236,"CAT_215, CAT_034, CAT_018, CAT_174",82,41
3237,"CAT_177, CAT_146, CAT_158, CAT_110",112,48
3238,"CAT_039, CAT_201, CAT_074, CAT_087",135,62
3239,"CAT_053, CAT_067, CAT_069, CAT_192, CAT_134",121,48
3240,"CAT_060, CAT_006, CAT_049, CAT_186, CAT_063, CAT_078",102,50
3241,"CAT_219, CAT_109, CAT_034, CAT_137, CAT_021",135,61
3242,"CAT_188, CAT_093, CAT_183, CAT_082, CAT_147, CAT_043",141,50
3243,"CAT_178, CAT_221, CAT_113, CAT_174, CAT_107, CAT_100",116,55
3244,"CAT_072, CAT_174, CAT_142, CAT_166, CAT_194",121,47
3245,"CAT_172, CAT_186, CAT_086, CAT_013, CAT_090",107,40
3246,"CAT_169, CAT_037, CAT_070, CAT_106, CAT_207",143,56
3247,"CAT_102, CAT_099, CAT_000, CAT_134, CAT_129",136,51
3248,"CAT_033, CAT_182, CAT_047, CAT_155, CAT_031",114,47
3249,"CAT_068, CAT_163, CAT_197, CAT_095",115,44
3250,"CAT_137, CAT_080, CAT_113, CAT_118",153,68
3251,"CAT_214, CAT_108, CAT_189, CAT_197, CAT_053, CAT_016",105,35
3252,"CAT_215, CAT_218, CAT_048, CAT_162, CAT_206",102,45
3253,"CAT_141, CAT_057, CAT_082, CAT_214, CAT_020, CAT_112",139,57
3254,"CAT_132, CAT_215, CAT_097, CAT_110",122,50
3255,"CAT_133, CAT_144, CAT_191, CAT_205",103,34
3256,"CAT_221, CAT_131, CAT_155, CAT_028, CAT_140",132,48
3257,"CAT_118, CAT_113, CAT_101, CAT_042, CAT_190",133,55
3258,"CAT_057, CAT_196, CAT_129, CAT_197",120,51
3259,"CAT_199, CAT_010, CAT_116, CAT_127",115,44
3260,"CAT_207, CAT_202, CAT_072, CAT_031, CAT_097, CAT_081",121,46
3261,"CAT_047, CAT_076, CAT_137, CAT_156, CAT_081",102,45
3262,"CAT_193, CAT_133, CAT_021, CAT_046",128,53
3263,"CAT_172, CAT_039, CAT_212, CAT_191, CAT_110",115,33
3264,"CAT_037, CAT_031, CAT_208, CAT_115, CAT_185, CAT_189",93,34
3265,"CAT_145, CAT_216, CAT_023, CAT_036",120,51
3266,"CAT_100, CAT_033, CAT_164, CAT_179, CAT_031",116,48
3267,"CAT_073, CAT_191, CAT_052, CAT_144, CAT_122, CAT_121",93,42
3268,"CAT_190, CAT_222, CAT_080, CAT_197",101,36
3269,"CAT_018, CAT_083, CAT_199, CAT_065, CAT_011",116,49
3270,"CAT_082, CAT_211, CAT_183, CAT_025, CAT_152, CAT_118",142,56
3271,"CAT_072, CAT_097, CAT_182, CAT_054, CAT_041",109,45
3272,"CAT_019, CAT_173, CAT_216, CAT_033",131,60
3273,"CAT_094, CAT_007, CAT_211, CAT_069",104,41
3274,"CAT_139, CAT_157, CAT_052, CAT_142, CAT_006",122,40
3275,"CAT_107, CAT_180, CAT_112, CAT_171, CAT_126, CAT_155",145,50
3276,"CAT_193, CAT_030, CAT_045, CAT_130, CAT_156",140,62
3277,"CAT_065, CAT_023, CAT_132, CAT_082, CAT_208, CAT_180",126,48
3278,"CAT_098, CAT_197, CAT_004, CAT_053",127,41
3279,"CAT_111, CAT_063, CAT_169, CAT_150, CAT_001, CAT_133",103,39
3280,"CAT_165, CAT_057, CAT_169, CAT_021, CAT_002, CAT_083",111,40
3281,"CAT_004, CAT_002, CAT_123, CAT_011, CAT_166",156,60
3282,"CAT_218, CAT_151, CAT_070, CAT_009",116,52
3283,"CAT_151, CAT_035, CAT_110, CAT_005",111,50
3284,"CAT_086, CAT_168, CAT_193, CAT_183, CAT_039",127,46
3285,"CAT_112, CAT_020, CAT_095, CAT_082, CAT_081",148,54
3286,"CAT_011, CAT_162, CAT_119, CAT_098",143,69
3287,"CAT_193, CAT_221, CAT_157, CAT_122, CAT_088, CAT_206",122,42
3288,"CAT_023, CAT_189, CAT_169, CAT_068, CAT_002, CAT_214",139,55
3289,"CAT_175, CAT_150, CAT_106, CAT_209, CAT_129, CAT_211",137,46
3290,"CAT_154, CAT_152, CAT_047, CAT_003, CAT_185, CAT_016",118,53
3291,"CAT_064, CAT_140, CAT_096, CAT_201",115,47
3292,"CAT_138, CAT_162, CAT_204, CAT_088, CAT_008, CAT_183",114,37
3293,"CAT_066, CAT_001, CAT_088, CAT_015, CAT_058, CAT_034",111,43
3294,"CAT_194, CAT_206, CAT_188, CAT_081",138,50
3295,"CAT_157, CAT_162, CAT_115, CAT_056",111,46
3296,"CAT_009, CAT_018, CAT_028, CAT_006, CAT_191, CAT_221",137,59
3297,"CAT_025, CAT_163, CAT_066, CAT_192, CAT_027",119,43
3298,"CAT_097, CAT_093, CAT_002, CAT_062, CAT_050",118,44
3299,"CAT_079, CAT_174, CAT_012, CAT_123, CAT_085",125,57
3300,"CAT_151, CAT_019, CAT_005, CAT_043, CAT_166, CAT_137",136,53
3301,"CAT_091, CAT_007, CAT_075, CAT_143",136,60
3302,"CAT_214, CAT_012, CAT_078, CAT_043, CAT_153",127,67
3303,"CAT_138, CAT_045, CAT_204, CAT_042, CAT_190",99,37
3304,"CAT_020, CAT_173, CAT_051, CAT_215",146,42
3305,"CAT_209, CAT_065, CAT_169, CAT_033, CAT_113, CAT_101",126,52
3306,"CAT_077, CAT_035, CAT_190, CAT_136, CAT_076",113,42
3307,"CAT_024, CAT_202, CAT_070, CAT_112, CAT_159, CAT_126",128,49
3308,"CAT_011, CAT_094, CAT_204, CAT_135, CAT_167",149,57
3309,"CAT_098, CAT_099, CAT_191, CAT_119",79,36
3310,"CAT_015, CAT_051, CAT_202, CAT_107, CAT_063",96,43
3311,"CAT_024, CAT_162, CAT_088, CAT_122",125,58
3312,"CAT_047, CAT_190, CAT_153, CAT_052, CAT_210",133,57
3313,"CAT_161, CAT_034, CAT_114, CAT_063, CAT_039, CAT_133",122,41
3314,"CAT_094, CAT_051, CAT_014, CAT_156, CAT_160",132,52
3315,"CAT_154, CAT_032, CAT_008, CAT_215, CAT_010",136,59
3316,"CAT_192, CAT_172, CAT_072, CAT_221",115,38
3317,"CAT_196, CAT_146, CAT_139, CAT_176, CAT_045",99,35
3318,"CAT_222, CAT_134, CAT_027, CAT_044, CAT_198",129,60
3319,"CAT_055, CAT_181, CAT_115, CAT_105, CAT_133, CAT_108",130,48
3320,"CAT_008, CAT_046, CAT_001, CAT_074, CAT_065",123,56
3321,"CAT_156, CAT_063, CAT_130, CAT_146, CAT_083, CAT_054",111,46
3322,"CAT_095, CAT_038, CAT_122, CAT_193, CAT_178",134,55
3323,"CAT_169, CAT_174, CAT_011, CAT_110",101,41
3324,"CAT_104, CAT_092, CAT_220, CAT_141",113,44
3325,"CAT_174, CAT_103, CAT_136, CAT_076, CAT_036, CAT_124",102,41
3326,"CAT_176, CAT_060, CAT_064, CAT_088, CAT_099, CAT_216",145,52
3327,"CAT_005, CAT_016, CAT_026, CAT_114, CAT_092",90,35
3328,"CAT_006, CAT_049, CAT_183, CAT_192, CAT_037, CAT_166",119,51
3329,"CAT_155, CAT_038, CAT_085, CAT_121",132,64
3330,"CAT_047, CAT_125, CAT_089, CAT_010, CAT_036",106,36
3331,"CAT_174, CAT_088, CAT_218, CAT_056",99,33
3332,"CAT_113, CAT_140, CAT_188, CAT_119, CAT_201",126,53
3333,"CAT_021, CAT_084, CAT_047, CAT_056, CAT_174, CAT_138",133,47
3334,"CAT_079, CAT_179, CAT_114, CAT_201, CAT_100",124,48
3335,"CAT_027, CAT_064, CAT_158, CAT_065",136,59
3336,"CAT_202, CAT_116, CAT_159, CAT_060, CAT_111",113,44
3337,"CAT_140, CAT_019, CAT_182, CAT_107",122,45
3338,"CAT_145, CAT_085, CAT_048, CAT_208",108,43
3339,"CAT_049, CAT_175, CAT_159, CAT_105",130,45
3340,"CAT_203, CAT_074, CAT_116, CAT_036",103,36
3341,"CAT_011, CAT_066, CAT_176, CAT_107, CAT_002, CAT_101",124,51
3342,"CAT_043, CAT_148, CAT_165, CAT_031",118,56
3343,"CAT_123, CAT_099, CAT_110, CAT_038",127,47
3344,"CAT_139, CAT_081, CAT_141, CAT_114, CAT_064",93,33
3345,"CAT_152, CAT_068, CAT_053, CAT_125, CAT_203, CAT_035",116,46
3346,"CAT_018, CAT_152, CAT_139, CAT_017, CAT_208, CAT_174",132,60
3347,"CAT_083, CAT_021, CAT_212, CAT_196, CAT_071",125,50
3348,"CAT_015, CAT_069, CAT_151, CAT_049, CAT_033",132,57
3349,"CAT_183, CAT_116, CAT_171, CAT_203, CAT_141, CAT_133",103,41
3350,"CAT_080, CAT_129, CAT_057, CAT_146, CAT_178",118,50
3351,"CAT_156, CAT_147, CAT_089, CAT_070",137,64
3352,"CAT_044, CAT_084, CAT_170, CAT_191, CAT_189, CAT_219",117,50
3353,"CAT_113, CAT_214, CAT_044, CAT_187, CAT_151",112,40
3354,"CAT_098, CAT_212, CAT_013, CAT_141",135,50
3355,"CAT_169, CAT_021, CAT_164, CAT_122, CAT_079",128,45
3356,"CAT_177, CAT_067, CAT_032, CAT_137, CAT_100",103,41
3357,"CAT_124, CAT_089, CAT_014, CAT_084, CAT_218, CAT_071",110,44
3358,"CAT_119, CAT_039, CAT_029, CAT_124",135,51
3359,"CAT_180, CAT_007, CAT_025, CAT_153, CAT_083, CAT_074",133,52
3360,"CAT_146, CAT_210, CAT_185, CAT_207, CAT_100, CAT_113",114,44
3361,"CAT_022, CAT_118, CAT_097, CAT_129",102,47
3362,"CAT_144, CAT_216, CAT_115, CAT_078, CAT_171, CAT_095",113,45
3363,"CAT_110, CAT_021, CAT_209, CAT_058, CAT_194, CAT_197",117,45
3364,"CAT_179, CAT_156, CAT_010, CAT_144, CAT_102, CAT_072",133,49
3365,"CAT_011, CAT_167, CAT_215, CAT_027",137,47
3366,"CAT_192, CAT_054, CAT_091, CAT_134, CAT_186",140,65
3367,"CAT_031, CAT_128, CAT_125, CAT_067, CAT_025",99,50
3368,"CAT_068, CAT_207, CAT_143, CAT_113, CAT_216",131,49
3369,"CAT_133, CAT_208, CAT_011, CAT_177",89,37
3370,"CAT_007, CAT_146, CAT_200, CAT_003",125,51
3371,"CAT_047, CAT_008, CAT_106, CAT_180, CAT_193, CAT_127",125,40
3372,"CAT_065, CAT_147, CAT_165, CAT_017, CAT_112",94,33
3373,"CAT_087, CAT_021, CAT_051, CAT_165, CAT_210, CAT_086",127,46
3374,"CAT_113, CAT_164, CAT_216, CAT_010",125,44
3375,"CAT_114, CAT_079, CAT_220, CAT_005, CAT_131, CAT_065",133,51
3376,"CAT_058, CAT_011, CAT_208, CAT_063",99,36
3377,"CAT_150, CAT_126, CAT_146, CAT_185, CAT_045",109,50
3378,"CAT_150, CAT_010, CAT_096, CAT_145",104,36
3379,"CAT_218, CAT_051, CAT_148, CAT_044",108,39
3380,"CAT_209, CAT_062, CAT_161, CAT_106, CAT_059, CAT_143",126,46
3381,"CAT_131, CAT_140, CAT_061, CAT_083, CAT_007, CAT_156",137,44
3382,"CAT_127, CAT_111, CAT_194, CAT_176, CAT_105",129,66
3383,"CAT_083, CAT_136, CAT_134, CAT_088",146,44
3384,"CAT_007, CAT_078, CAT_201, CAT_023, CAT_004",122,35
3385,"CAT_005, CAT_123, CAT_146, CAT_038, CAT_106, CAT_190",123,45
3386,"CAT_125, CAT_083, CAT_184, CAT_020",112,44
3387,"CAT_189, CAT_055, CAT_073, CAT_094, CAT_091, CAT_051",136,57
3388,"CAT_141, CAT_168, CAT_016, CAT_197, CAT_080, CAT_113",138,62
3389,"CAT_198, CAT_187, CAT_195, CAT_004",114,52
3390,"CAT_220, CAT_195, CAT_116, CAT_214, CAT_044",106,36
3391,"CAT_154, CAT_137, CAT_092, CAT_150, CAT_060, CAT_170",132,46
3392,"CAT_221, CAT_101, CAT_109, CAT_169",125,43
3393,"CAT_185, CAT_201, CAT_158, CAT_141, CAT_017",101,33
3394,"CAT_105, CAT_102, CAT_058, CAT_098, CAT_141, CAT_156",125,53
3395,"CAT_098, CAT_219, CAT_194, CAT_105, CAT_078",93,27
3396,"CAT_074, CAT_094, CAT_163, CAT_016",138,68
3397,"CAT_107, CAT_005, CAT_143, CAT_097",116,45
3398,"CAT_028, CAT_034, CAT_179, CAT_019, CAT_002",91,29
3399,"CAT_128, CAT_023, CAT_019, CAT_034, CAT_053, CAT_206",96,33
3400,"CAT_034, CAT_153, CAT_181, CAT_164, CAT_186",115,45
3401,"CAT_030, CAT_048, CAT_148, CAT_004",136,65
3402,"CAT_013, CAT_084, CAT_111, CAT_143, CAT_131",113,45
3403,"CAT_123, CAT_043, CAT_092, CAT_152, CAT_023, CAT_113",93,38
3404,"CAT_192, CAT_136, CAT_047, CAT_145, CAT_207, CAT_054",125,42
3405,"CAT_152, CAT_180, CAT_081, CAT_062, CAT_087, CAT_113",101,39
3406,"CAT_127, CAT_199, CAT_179, CAT_067, CAT_102",135,50
3407,"CAT_002, CAT_025, CAT_095, CAT_045, CAT_150, CAT_183",125,45
3408,"CAT_198, CAT_156, CAT_050, CAT_095, CAT_207",102,47
3409,"CAT_073, CAT_057, CAT_213, CAT_182, CAT_119, CAT_008",112,47
3410,"CAT_059, CAT_103, CAT_166, CAT_145",114,36
3411,"CAT_060, CAT_106, CAT_152, CAT_191, CAT_088, CAT_205",128,42
3412,"CAT_158, CAT_021, CAT_163, CAT_205, CAT_104, CAT_179",120,45
3413,"CAT_220, CAT_069, CAT_033, CAT_219, CAT_211, CAT_057",129,50
3414,"CAT_036, CAT_136, CAT_162, CAT_016",120,41
3415,"CAT_099, CAT_124, CAT_042, CAT_132",109,48
3416,"CAT_165, CAT_181, CAT_059, CAT_026, CAT_118",112,49
3417,"CAT_038, CAT_197, CAT_040, CAT_023, CAT_015, CAT_179",118,42
3418,"CAT_134, CAT_172, CAT_218, CAT_136",102,45
3419,"CAT_019, CAT_050, CAT_108, CAT_044",131,58
3420,"CAT_068, CAT_046, CAT_007, CAT_144, CAT_029",129,53
3421,"CAT_191, CAT_074, CAT_077, CAT_202",90,39
3422,"CAT_039, CAT_182, CAT_115, CAT_174, CAT_192",142,55
3423,"CAT_082, CAT_107, CAT_155, CAT_125, CAT_043",125,41
3424,"CAT_019, CAT_077, CAT_174, CAT_018, CAT_093, CAT_007",136,45
3425,"CAT_104, CAT_035, CAT_162, CAT_042",117,36
3426,"CAT_205, CAT_047, CAT_123, CAT_147, CAT_121, CAT_139",123,56
3427,"CAT_022, CAT_026, CAT_203, CAT_220, CAT_086, CAT_132",100,43
3428,"CAT_163, CAT_064, CAT_214, CAT_093",135,46
3429,"CAT_109, CAT_062, CAT_056, CAT_004, CAT_202, CAT_094",133,50
3430,"CAT_174, CAT_107, CAT_090, CAT_178",151,63
3431,"CAT_025, CAT_153, CAT_203, CAT_079, CAT_090",159,61
3432,"CAT_222, CAT_053, CAT_001, CAT_004, CAT_179, CAT_174",150,57
3433,"CAT_051, CAT_180, CAT_156, CAT_217",104,43
3434,"CAT_117, CAT_055, CAT_124, CAT_048, CAT_127, CAT_168",115,57
3435,"CAT_163, CAT_044, CAT_106, CAT_144, CAT_195",92,42
3436,"CAT_091, CAT_105, CAT_096, CAT_068, CAT_186, CAT_184",105,41
3437,"CAT_187, CAT_177, CAT_056, CAT_197, CAT_113, CAT_154",112,37
3438,"CAT_222, CAT_153, CAT_169, CAT_134, CAT_117, CAT_189",136,56
3439,"CAT_193, CAT_081, CAT_208, CAT_089, CAT_198",124,56
